strains,species,species_color,strains2,diversity2,color2
Pseudomonas_aeruginosa_C51_526,aeruginosa,#D7261C,Pseudomonas_aeruginosa_C51_526,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_ATCC_27853_3104,aeruginosa,#D7261C,Pseudomonas_aeruginosa_ATCC_27853_3104,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_BWHPSA002_588,aeruginosa,#D7261C,Pseudomonas_aeruginosa_BWHPSA002_588,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_CF77_524,aeruginosa,#D7261C,Pseudomonas_aeruginosa_CF77_524,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_6354_11961,aeruginosa,#D7261C,Pseudomonas_aeruginosa_6354_11961,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA_152165_9653,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA_152165_9653,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_BWHPSA043_2036,aeruginosa,#D7261C,Pseudomonas_aeruginosa_BWHPSA043_2036,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AUS511_10617,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AUS511_10617,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_isolate_328_5541,aeruginosa,#D7261C,Pseudomonas_aeruginosa_isolate_328_5541,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA198_12061,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA198_12061,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PASGNDM593_6784,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PASGNDM593_6784,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_NCTC10727_7269,aeruginosa,#D7261C,Pseudomonas_aeruginosa_NCTC10727_7269,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_TUEPA7472_6436,aeruginosa,#D7261C,Pseudomonas_aeruginosa_TUEPA7472_6436,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_S819_C17_BS_6661,aeruginosa,#D7261C,Pseudomonas_aeruginosa_S819_C17_BS_6661,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_Pae29_10703,aeruginosa,#D7261C,Pseudomonas_aeruginosa_Pae29_10703,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AUS516_10667,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AUS516_10667,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA_139357_9637,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA_139357_9637,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_MRSN13488_10517,aeruginosa,#D7261C,Pseudomonas_aeruginosa_MRSN13488_10517,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE14911_2280,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE14911_2280,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_NCTC12447_7112,aeruginosa,#D7261C,Pseudomonas_aeruginosa_NCTC12447_7112,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_GO72_11935,aeruginosa,#D7261C,Pseudomonas_aeruginosa_GO72_11935,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA-81_10357,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA-81_10357,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_1442_10356,aeruginosa,#D7261C,Pseudomonas_aeruginosa_1442_10356,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE15008_2235,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE15008_2235,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA_304_10383,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA_304_10383,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_TRN6649_5525,aeruginosa,#D7261C,Pseudomonas_aeruginosa_TRN6649_5525,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE14842_2095,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE14842_2095,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_WH-SGI-V-07406_3432,aeruginosa,#D7261C,Pseudomonas_aeruginosa_WH-SGI-V-07406_3432,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_CCUG_73744_11977,aeruginosa,#D7261C,Pseudomonas_aeruginosa_CCUG_73744_11977,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_TRN6635_5494,aeruginosa,#D7261C,Pseudomonas_aeruginosa_TRN6635_5494,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_isolate_ILI_12146,aeruginosa,#D7261C,Pseudomonas_aeruginosa_isolate_ILI_12146,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA_HTX1_10359,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA_HTX1_10359,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_Pyo5_11120,aeruginosa,#D7261C,Pseudomonas_aeruginosa_Pyo5_11120,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA_150210_9638,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA_150210_9638,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_isolate_82_5319,aeruginosa,#D7261C,Pseudomonas_aeruginosa_isolate_82_5319,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_isolate_80_4950,aeruginosa,#D7261C,Pseudomonas_aeruginosa_isolate_80_4950,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_WH-SGI-V-07183_3406,aeruginosa,#D7261C,Pseudomonas_aeruginosa_WH-SGI-V-07183_3406,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_11987-2-5_6282,aeruginosa,#D7261C,Pseudomonas_aeruginosa_11987-2-5_6282,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_M66_10712,aeruginosa,#D7261C,Pseudomonas_aeruginosa_M66_10712,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE14988_2216,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE14988_2216,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_HUM-323-D1_9820,aeruginosa,#D7261C,Pseudomonas_aeruginosa_HUM-323-D1_9820,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PADK2_CF510_376,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PADK2_CF510_376,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_U5a-2_5775,aeruginosa,#D7261C,Pseudomonas_aeruginosa_U5a-2_5775,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA217_12057,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA217_12057,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AUS500_10656,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AUS500_10656,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_FMDP001_11958,aeruginosa,#D7261C,Pseudomonas_aeruginosa_FMDP001_11958,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA120_12075,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA120_12075,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_MRSN12283_10511,aeruginosa,#D7261C,Pseudomonas_aeruginosa_MRSN12283_10511,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE14856_2111,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE14856_2111,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_HUM-11_9750,aeruginosa,#D7261C,Pseudomonas_aeruginosa_HUM-11_9750,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_W13a-2_6703,aeruginosa,#D7261C,Pseudomonas_aeruginosa_W13a-2_6703,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_2S030611BSL_PA1_11089,aeruginosa,#D7261C,Pseudomonas_aeruginosa_2S030611BSL_PA1_11089,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE14984_2212,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE14984_2212,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_1608_10342,aeruginosa,#D7261C,Pseudomonas_aeruginosa_1608_10342,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_4094345258_10870,aeruginosa,#D7261C,Pseudomonas_aeruginosa_4094345258_10870,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_5024379144-15_10872,aeruginosa,#D7261C,Pseudomonas_aeruginosa_5024379144-15_10872,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE14953_2181,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE14953_2181,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AUS502_10246,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AUS502_10246,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE14823_2332,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE14823_2332,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_110238627_10857,aeruginosa,#D7261C,Pseudomonas_aeruginosa_110238627_10857,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_4104355340-15_10890,aeruginosa,#D7261C,Pseudomonas_aeruginosa_4104355340-15_10890,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_L3_11997,aeruginosa,#D7261C,Pseudomonas_aeruginosa_L3_11997,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_ST260_2576,aeruginosa,#D7261C,Pseudomonas_aeruginosa_ST260_2576,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE13858_2341,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE13858_2341,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA221_12055,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA221_12055,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_OENV139_11897,aeruginosa,#D7261C,Pseudomonas_aeruginosa_OENV139_11897,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_WH-SGI-V-07685_3498,aeruginosa,#D7261C,Pseudomonas_aeruginosa_WH-SGI-V-07685_3498,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA162_12069,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA162_12069,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PASP363_11911,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PASP363_11911,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_HUM-342_9880,aeruginosa,#D7261C,Pseudomonas_aeruginosa_HUM-342_9880,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE14689_2549,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE14689_2549,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_KCJ3K27_12005,aeruginosa,#D7261C,Pseudomonas_aeruginosa_KCJ3K27_12005,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_1713_10333,aeruginosa,#D7261C,Pseudomonas_aeruginosa_1713_10333,1.54879976589477,#CECFE5
